slug,title,meta_description,word_count,dateModified,has_answer_block,has_faq_schema,cta_type
ai-voice-invoicing-2026-standard,AI Voice Invoicing: The 2026 Standard for Tradies | Smash Invoices,"Discover why AI Voice Invoicing is replacing traditional apps in 2026. Learn how Agentic AI systems are cutting admin time by 90% for tradies with hands-free, voice-first workflows.",965,2026-02-24,no,yes,both
air-conditioning-emergency-call-out-invoice,"Air Con Emergency Call-out Invoice: After-Hours Rates, Parts and GST","How to invoice air conditioning emergency call-outs. Includes after-hours rates, refrigerant, parts, approval notes, GST examples and same-night invoicing tips.",1140,2026-05-11,no,yes,both
appliance-repair-invoice-template-australia,"Appliance Repair Invoice Template Australia: Callout Fee, Labour and Parts","What to include on an appliance repair invoice in Australia: ABN, callout fee, labour, parts with markup, diagnostic-only format, GST and payment terms.",646,2026-05-11,no,yes,both
arborist-invoice-template-australia,"Arborist Invoice Template Australia: Crew Rates, Removal and GST","What to include on an arborist invoice in Australia: ABN, qualifications, crew rates, removal, pruning, stump grinding, disposal, GST and payment terms.",745,2026-05-11,no,yes,both
best-quote-and-invoice-software-for-tradies,The 30-Second Quote: Best Quote and Invoice Software for Tradies,Tired of double-handling paperwork? Learn how to turn a site visit into a sent quote in 30 seconds and convert it to an invoice with one tap.,949,2026-01-15,no,no,both
beyond-chatgpt-dedicated-voice-invoicing,Why a Dedicated Invoicing Tool Beats ChatGPT for Sending Invoices | SMASH,"ChatGPT can draft text — it cannot price from your catalog, send a compliant invoice, or take payment. What you need after the job is done.",868,2026-06-12,no,no,both
builder-owes-you-subcontractor-payment-australia,The Builder Who Owes You — Subcontractor Payment Rights in Australia,Subcontractors in Australia are often last to be paid when a builder's payment is delayed. The Security of Payment Act gives subcontractors rights most don't use. Here's what you can do when the builder owes you money.,1028,2026-04-06,no,no,both
built-by-someone-else-tradie-invoicing,Inherited Project Invoicing for Tradies: Complete Guide,"Inherited project invoicing for tradies. 80% admin reduction, 94% scope recovery.",1580,2026-03-12,no,no,both
built-for-people-who-dont-type,Why I Built an Invoicing App for People Who Don't Type,"Dan Reeve is a working handyman with dyslexia who lost $1,200 in one year to uninvoiced jobs. He built SMASH Invoices so the job description — spoken aloud — becomes the invoice.",1229,2026-04-06,no,no,both
bulk-goods-wholesaler-quoting-gmail,Bulk Goods Wholesaler Quote Automation in Gmail | SMASH,"Water tanks, timber, shed kits, sandstone — if you sell configurable bulky goods and price them by email, SMASH eliminates the 5-tab freight-zone calculation and builds the quote in Gmail.",1066,2026-06-07,no,yes,both
can-chatgpt-generate-invoices-tradie-guide,Can ChatGPT Generate an Invoice? The Truth for Tradies,"Everyone is talking about AI, but can ChatGPT actually handle your invoicing? We tested it on a job site so you don't have to.",986,2026-01-15,no,no,both
can-i-invoice-without-gst-australia,Can I Invoice Without GST in Australia?,"Yes. If you're not registered for GST — annual turnover under $75,000 and not voluntarily registered — you should not add GST to your invoices. Here's what a non-GST invoice looks like and the one mistake that creates problems for both parties.",844,2026-04-06,no,no,both
car-detailing-invoice-template-australia,"Car Detailing Invoice Template Australia: Packages, Add-ons and GST","What to include on a car detailing invoice in Australia: ABN, packages, vehicle size rates, add-ons, ceramic coating, fleet rates, GST and payment terms.",812,2026-05-11,no,yes,both
cleaning-invoice-template-australia,"Cleaning Invoice Template Australia: ABN, GST and Line Items","Cleaning invoice template Australia guide for domestic and commercial cleaners. See what to include, GST rules, line items, payment terms and repeat invoice tips.",1251,2026-05-11,no,yes,both
cleaning-services-voice-invoicing-tradie,Cleaning Services Voice Invoicing: 90% Admin Reduction,"Voice invoicing for cleaning teams. 90% admin reduction, 99% accuracy, 75k annual ROI.",1223,2026-03-12,no,no,both
