slug,impressions,clicks,ctr,avg_position,bucket
ai-voice-invoicing-2026-standard,0,0,0.0000,unknown,C
air-conditioning-emergency-call-out-invoice,2,0,0.0000,1.0,C
appliance-repair-invoice-template-australia,0,0,0.0000,unknown,D
arborist-invoice-template-australia,0,0,0.0000,unknown,D
best-quote-and-invoice-software-for-tradies,256,0,0.0000,70.42,B
beyond-chatgpt-dedicated-voice-invoicing,0,0,0.0000,unknown,C
builder-owes-you-subcontractor-payment-australia,2,0,0.0000,7.0,C
built-by-someone-else-tradie-invoicing,2,0,0.0000,3.0,C
built-for-people-who-dont-type,0,0,0.0000,unknown,C
bulk-goods-wholesaler-quoting-gmail,0,0,0.0000,unknown,D
can-chatgpt-generate-invoices-tradie-guide,44,0,0.0000,23.05,B
can-i-invoice-without-gst-australia,117,0,0.0000,12.65,D
car-detailing-invoice-template-australia,0,0,0.0000,unknown,D
cleaning-invoice-template-australia,9,0,0.0000,9.33,D
cleaning-services-voice-invoicing-tradie,0,0,0.0000,unknown,C
concreter-invoice-template-australia,9,0,0.0000,15.0,D
customer-approval-portal,1,0,0.0000,10.0,C
customer-payment-history-better-tradie,0,0,0.0000,unknown,C
customer-put-fifty-back-in-purse,0,0,0.0000,unknown,C
do-i-need-gst-as-a-sole-trader-australia,0,0,0.0000,unknown,D
dog-grooming-invoice-template-australia,0,0,0.0000,unknown,D
driveway-concrete-asphalt-voice-invoicing,0,0,0.0000,unknown,C
electrician-call-out-fee-invoice,5,0,0.0000,4.6,C
electrician-invoice-template-australia,21,0,0.0000,9.24,D
eofy-invoicing-checklist-sole-traders-australia,3,1,33.3300,6.67,C
fastest-voice-invoice-generator-gmail,0,0,0.0000,unknown,D
fastest-way-to-send-invoice-2026,0,0,0.0000,unknown,C
fencing-gate-balustrade-quoting-gmail,0,0,0.0000,unknown,D
fencing-invoice-template-australia,0,0,0.0000,unknown,D
fergus-alternative-voice-invoicing-tradie,0,0,0.0000,unknown,C
fly-screen-job,0,0,0.0000,unknown,C
forgotten-invoices-annual-cost,11,0,0.0000,4.09,C
friday-pub-test-batch-invoicing-tradies,0,0,0.0000,unknown,C
garden-shed-kit-barn-quoting-gmail,0,0,0.0000,unknown,D
gardening-invoice-template-australia,29,0,0.0000,26.45,D
gmail-email-to-invoice-20-seconds,0,0,0.0000,unknown,C
gmail-quickbooks-xero-bridge,7,0,0.0000,32.0,B
gmail-to-xero-invoice-no-typing,0,0,0.0000,unknown,C
handyman-invoice-template-australia,2,0,0.0000,37.5,D
handyman-materials-and-call-out-fees,0,0,0.0000,unknown,C
handymen-multi-skill-voice-invoicing-tradie,2,0,0.0000,4.5,C
