group_id,topic,size,directive,recommended_survivor,members,members_with_impressions
GRP-001,gmail-invoicing,13,FIRST — merge to 3-4 posts; 301 into /gmail-invoice pillar,gmail-quickbooks-xero-bridge,ai-voice-invoicing-2026-standard;beyond-chatgpt-dedicated-voice-invoicing;cleaning-services-voice-invoicing-tradie;driveway-concrete-asphalt-voice-invoicing;fergus-alternative-voice-invoicing-tradie;handymen-multi-skill-voice-invoicing-tradie;is-voice-invoicing-accurate;mobile-mechanic-toolkit-voice-to-invoice;smash-xero-voice-invoicing-accounting;stop-admin-sundays-voice-invoicing;the-60-second-invoice-voice-to-invoice;voice-to-estimate-build-bids-without-pen;voice-to-quote-feature,handymen-multi-skill-voice-invoicing-tradie;mobile-mechanic-toolkit-voice-to-invoice
GRP-002,unknown,5,REVIEW — per-group call needed,mobile-mechanic-call-out-fee-invoice,air-conditioning-emergency-call-out-invoice;electrician-call-out-fee-invoice;handyman-materials-and-call-out-fees;mobile-mechanic-call-out-fee-invoice;plumber-call-out-fee-invoice,air-conditioning-emergency-call-out-invoice;electrician-call-out-fee-invoice;mobile-mechanic-call-out-fee-invoice
GRP-003,how-to-invoice-as-a-trade,21,Keep ONE per trade; merge duplicates only,how-to-invoice-as-an-electrician-australia,appliance-repair-invoice-template-australia;arborist-invoice-template-australia;car-detailing-invoice-template-australia;cleaning-invoice-template-australia;concreter-invoice-template-australia;dog-grooming-invoice-template-australia;electrician-invoice-template-australia;fencing-invoice-template-australia;gardening-invoice-template-australia;handyman-invoice-template-australia;hvac-air-con-invoice-template-australia;it-repair-invoice-template-australia;locksmith-invoice-template-australia;painter-invoice-template-australia;pest-control-invoice-template-australia;plumbing-invoice-template-australia;pool-service-invoice-template-australia;rubbish-removal-invoice-template-australia;security-installer-invoice-template-australia;solar-installation-invoice-template-australia;tiler-invoice-template-australia,cleaning-invoice-template-australia;concreter-invoice-template-australia;electrician-invoice-template-australia;gardening-invoice-template-australia;handyman-invoice-template-australia;hvac-air-con-invoice-template-australia;it-repair-invoice-template-australia;locksmith-invoice-template-australia;painter-invoice-template-australia;pest-control-invoice-template-australia;pool-service-invoice-template-australia;security-installer-invoice-template-australia
GRP-004,how-to-invoice-niche,19,One per niche; merge ghosts,how-to-invoice-as-an-electrician-australia,bulk-goods-wholesaler-quoting-gmail;fastest-voice-invoice-generator-gmail;fencing-gate-balustrade-quoting-gmail;garden-shed-kit-barn-quoting-gmail;gmail-email-to-invoice-20-seconds;gmail-quickbooks-xero-bridge;gmail-to-xero-invoice-no-typing;it-reseller-msp-quote-automation-gmail;pest-control-invoicing-gmail-csv-pricing;photographer-wedding-quote-gmail-60-seconds;print-signage-custom-quote-gmail;quickbooks-estimates-from-gmail;quickbooks-gmail-chrome-extension-missing;quickbooks-gmail-invoice-shortcut;quickbooks-gmail-sidebar-tab-switching;service-trade-invoice-gmail-sidebar;shipping-container-quote-builder-gmail;wave-invoicing-alternative-gmail;xero-quote-builder-gmail-extension,gmail-quickbooks-xero-bridge
GRP-005,unknown,3,REVIEW — per-group call needed,can-i-invoice-without-gst-australia,can-i-invoice-without-gst-australia;do-i-need-gst-as-a-sole-trader-australia;what-must-be-on-a-tax-invoice-australia,can-i-invoice-without-gst-australia;what-must-be-on-a-tax-invoice-australia
GRP-006,unknown,3,REVIEW — per-group call needed,eofy-invoicing-checklist-sole-traders-australia,eofy-invoicing-checklist-sole-traders-australia;tax-deductions-sole-trader-tradie-australia;what-is-a-bas-sole-trader-australia,eofy-invoicing-checklist-sole-traders-australia
GRP-007,invoice-template-australia,20,Merge ALL into one template hub; Bucket D contain,hvac-air-con-invoice-template-australia,how-to-invoice-appliance-repair-callouts;how-to-invoice-as-a-sole-trader-australia-complete-guide;how-to-invoice-as-an-electrician-australia;how-to-invoice-cctv-and-alarm-installations;how-to-invoice-commercial-cleaning-clients;how-to-invoice-computer-repair-parts-and-labour;how-to-invoice-concrete-progress-claims;how-to-invoice-emergency-locksmith-call-outs;how-to-invoice-fencing-by-the-metre;how-to-invoice-mobile-car-detailing-packages;how-to-invoice-mobile-dog-grooming-appointments;how-to-invoice-multi-day-painting-jobs;how-to-invoice-pool-chemical-treatments;how-to-invoice-pool-maintenance-australia;how-to-invoice-quarterly-pest-treatments;how-to-invoice-rubbish-removal-tip-fees;how-to-invoice-solar-with-stc-rebates;how-to-invoice-switchboard-upgrades;how-to-invoice-tiling-labour-and-materials;how-to-invoice-tree-removal-and-stump-grinding,how-to-invoice-appliance-repair-callouts;how-to-invoice-as-a-sole-trader-australia-complete-guide;how-to-invoice-as-an-electrician-australia;how-to-invoice-commercial-cleaning-clients;how-to-invoice-concrete-progress-claims;how-to-invoice-emergency-locksmith-call-outs;how-to-invoice-multi-day-painting-jobs;how-to-invoice-pool-maintenance-australia;how-to-invoice-quarterly-pest-treatments;how-to-invoice-switchboard-upgrades;how-to-invoice-tiling-labour-and-materials
GRP-008,voice-invoicing,8,Merge to 3 posts; 301 into /voice-invoicing,the-60-second-invoice-voice-to-invoice,how-to-invoice-as-a-carpenter-australia;how-to-invoice-as-a-cleaner-australia;how-to-invoice-as-a-gardener-australia;how-to-invoice-as-a-handyman-australia;how-to-invoice-as-a-mobile-mechanic-australia;how-to-invoice-as-a-painter-australia;how-to-invoice-as-a-pest-control-operator-australia;how-to-invoice-as-a-plumber-australia,how-to-invoice-as-a-carpenter-australia;how-to-invoice-as-a-cleaner-australia;how-to-invoice-as-a-handyman-australia;how-to-invoice-as-a-mobile-mechanic-australia;how-to-invoice-as-a-pest-control-operator-australia;how-to-invoice-as-a-plumber-australia
GRP-009,unknown,2,REVIEW — per-group call needed,is-xero-overkill-for-solo-tradies,is-xero-overkill-for-solo-tradies;xero-too-complicated-sole-trader,is-xero-overkill-for-solo-tradies
GRP-010,unknown,2,REVIEW — per-group call needed,lawn-mowing-repeat-invoices,lawn-mowing-repeat-invoices;repeat-invoices-for-cleaners,
